V1	V2	HP.tsv	ppi.tsv	coexMSG.tsv	coexKDN.tsv	coexSPL.tsv
EGLN3	EGLN3	0	1	0	0	0
MSTO1	EGLN3	0	1	0	0	0
TRAPPC2L	TRAPPC2L	0	1	0	0	0
CCT2	CRPPA	0	1	0	0	0
CCT2	EGLN3	0	1	0	0	0
INPP5K	EGLN3	0	1	0	0	0
INPP5K	TRAPPC2L	0	0	0	0	1
GOLGA2	GOLGA2	0	1	0	0	0
BET1	GOLGA2	0	1	0	0	0
ESR2	CCT2	0	1	0	0	0
ESR2	GOLGA2	0	1	0	0	0
ESR2	ESR2	0	1	0	0	0
TRIP4	GOLGA2	0	1	0	0	0
TRIP4	ESR2	0	1	0	0	0
TRIP4	TRIP4	0	1	0	0	0
GOSR2	BET1	0	1	1	0	0
LAMB1	ESR2	0	1	0	0	0
LAMB1	LAMA2	0	1	0	0	0
POMGNT2	GOSR2	0	0	1	0	0
POMGNT2	LAMB1	1	0	0	1	0
SGCA	GOSR2	1	0	0	0	0
COL6A3	LAMA2	1	0	0	0	0
COL6A3	SGCA	1	0	0	0	0
COL6A1	LAMB1	0	1	0	0	0
COL6A1	SGCA	1	0	0	0	0
COL6A1	COL6A3	1	1	0	0	0
TCAP	SGCA	0	0	1	0	0
DPM2	DPM2	0	1	0	0	0
ADAT3	DPM2	1	0	0	0	0
ITGA7	LAMA2	1	0	0	0	0
ITGA7	SGCA	1	0	0	0	0
ITGA7	COL6A3	1	0	0	0	0
ITGA7	COL6A1	1	0	0	0	0
ITGA7	ITGA7	0	1	0	0	0
MPDU1	ADAT3	1	0	0	0	0
DPM1	EGLN3	0	1	0	0	0
DPM1	BET1	0	1	0	0	0
DPM1	ESR2	0	1	0	0	0
DPM1	TRIP4	0	0	1	0	0
DPM1	DPM2	1	1	0	0	0
DPM1	ADAT3	1	0	0	0	0
DYSF	GOSR2	1	0	0	0	0
DYSF	SGCA	1	0	0	0	0
DYSF	COL6A3	0	1	0	0	0
DYSF	TCAP	1	0	0	0	0
DYSF	ITGA7	1	0	1	0	0
TRAPPC11	TRAPPC2L	0	1	0	0	0
TRAPPC11	BET1	0	1	0	0	0
TRAPPC11	SGCA	1	0	0	0	0
TRAPPC11	ADAT3	1	0	0	0	0
TRAPPC11	TRAPPC11	0	1	0	0	0
DAG1	LAMA2	0	1	0	0	0
DAG1	LAMB1	1	0	0	0	0
DAG1	POMGNT2	1	0	0	0	1
DAG1	SGCA	0	1	0	0	0
DAG1	ADAT3	1	0	0	0	0
DAG1	TRAPPC11	1	0	0	0	0
DAG1	DAG1	0	1	0	0	0
RXYLT1	BET1	0	0	1	0	0
RXYLT1	POMGNT2	1	0	0	0	0
RXYLT1	DPM1	0	0	0	0	1
ALB	EGLN3	0	0	0	1	0
ALB	TRAPPC11	0	1	0	0	0
ALB	ALB	0	1	0	0	0
B4GAT1	LAMB1	1	0	0	0	0
B4GAT1	POMGNT2	1	0	0	0	0
B4GAT1	DAG1	1	0	0	0	1
B4GAT1	RXYLT1	1	0	0	0	0
FKRP	LAMA2	1	0	0	0	0
FKRP	LAMB1	1	0	0	1	0
FKRP	POMGNT2	1	0	0	1	0
FKRP	SGCA	1	0	0	0	0
FKRP	DPM2	1	0	0	0	0
FKRP	ADAT3	1	0	0	0	0
FKRP	TRAPPC11	1	0	0	0	0
FKRP	DAG1	1	0	0	0	0
FKRP	RXYLT1	1	0	1	0	0
FKRP	B4GAT1	1	1	0	0	0
TTN	ESR2	0	1	0	0	0
TTN	SGCA	1	0	1	0	0
TTN	COL6A3	1	0	0	0	0
TTN	COL6A1	1	0	0	0	0
TTN	TCAP	1	1	0	0	0
TTN	DYSF	1	1	0	0	0
TTN	ALB	0	1	0	0	0
TTN	FKRP	1	0	0	0	0
TTN	TTN	0	1	0	0	0
NEB	LAMA2	1	0	0	0	0
NEB	SGCA	0	0	1	0	0
NEB	COL6A3	1	0	0	0	0
NEB	COL6A1	1	0	0	0	0
NEB	TCAP	0	0	1	0	0
NEB	ITGA7	1	0	0	0	0
NEB	DYSF	1	1	0	0	0
NEB	FKRP	1	0	0	0	0
NEB	TTN	0	1	0	0	0
ACTA1	CCT2	0	1	0	0	0
ACTA1	LAMA2	1	0	0	0	0
ACTA1	SGCA	1	0	1	0	0
ACTA1	COL6A3	1	0	0	0	0
ACTA1	COL6A1	1	0	0	0	0
ACTA1	TCAP	1	0	1	0	0
ACTA1	ITGA7	1	0	0	0	0
ACTA1	DYSF	1	0	0	0	0
ACTA1	TRAPPC11	1	0	0	0	0
ACTA1	FKRP	1	0	0	0	0
ACTA1	TTN	1	1	1	0	0
ACTA1	NEB	1	0	0	0	0
ACTA1	ACTA1	0	1	0	0	0
SELENON	LAMA2	1	0	0	0	0
SELENON	POMGNT2	0	0	0	0	1
SELENON	COL6A3	1	0	0	0	0
SELENON	COL6A1	1	0	0	0	0
SELENON	ADAT3	1	0	0	0	0
SELENON	ITGA7	1	0	0	0	0
SELENON	FKRP	1	0	1	0	0
SELENON	TTN	1	0	0	0	0
SELENON	NEB	1	0	0	0	0
SELENON	ACTA1	1	0	0	0	0
TPM3	ESR2	0	1	0	0	0
TPM3	LAMA2	1	0	0	0	0
TPM3	SGCA	1	0	0	0	0
TPM3	COL6A3	1	0	0	0	0
TPM3	COL6A1	1	0	0	0	0
TPM3	ADAT3	1	0	0	0	0
TPM3	ITGA7	1	0	0	0	0
TPM3	DYSF	0	0	1	0	0
TPM3	FKRP	1	0	0	0	0
TPM3	TTN	1	0	0	0	0
TPM3	NEB	1	0	0	0	0
TPM3	ACTA1	1	1	0	0	0
TPM3	SELENON	1	0	0	0	0
TPM3	TPM3	0	1	0	0	0
BIN1	LAMA2	1	0	0	0	0
BIN1	SGCA	0	0	1	0	0
BIN1	COL6A3	1	0	0	0	0
BIN1	COL6A1	1	0	0	0	0
BIN1	TCAP	0	0	1	0	0
BIN1	ITGA7	1	0	1	0	0
BIN1	FKRP	1	0	0	0	0
BIN1	TTN	0	0	1	0	0
BIN1	NEB	1	0	1	0	0
BIN1	ACTA1	1	1	1	0	0
BIN1	SELENON	1	0	0	0	0
BIN1	TPM3	1	0	1	0	0
BIN1	BIN1	0	1	0	0	0
POMT1	LAMB1	1	0	0	0	0
POMT1	POMGNT2	1	0	0	0	0
POMT1	SGCA	1	0	0	0	0
POMT1	DPM2	1	0	0	0	0
POMT1	ADAT3	1	0	0	0	0
POMT1	TRAPPC11	1	0	0	0	0
POMT1	DAG1	1	0	0	0	0
POMT1	RXYLT1	1	0	0	0	0
POMT1	B4GAT1	1	1	0	0	0
POMT1	FKRP	1	0	0	0	1
CHKB	LAMA2	1	0	0	0	0
CHKB	SGCA	1	0	0	0	0
CHKB	COL6A3	1	0	0	0	0
CHKB	COL6A1	1	0	0	0	0
CHKB	ITGA7	1	0	0	0	0
CHKB	DYSF	1	0	0	0	0
CHKB	DAG1	1	0	0	0	0
CHKB	ALB	0	1	0	0	0
CHKB	B4GAT1	1	0	0	0	0
CHKB	FKRP	1	0	0	0	0
CHKB	TTN	1	0	0	0	0
CHKB	ACTA1	1	0	0	0	0
CHKB	BIN1	1	0	0	0	0
CHKB	POMT1	1	0	0	0	0
DPM3	EGLN3	0	1	0	0	0
DPM3	TCAP	1	0	0	0	0
DPM3	DPM2	0	1	1	0	0
DPM3	DPM1	0	1	0	0	0
DPM3	ACTA1	1	0	0	0	0
GMPPB	EGLN3	0	1	0	0	0
GMPPB	LAMA2	1	0	0	0	0
GMPPB	POMGNT2	1	0	0	0	0
GMPPB	DPM2	1	0	0	0	0
GMPPB	ADAT3	1	0	0	0	0
GMPPB	TRAPPC11	1	0	0	0	0
GMPPB	DAG1	1	0	0	0	0
GMPPB	FKRP	1	0	0	0	0
GMPPB	TTN	1	0	0	0	0
GMPPB	NEB	1	0	0	0	0
GMPPB	ACTA1	1	0	0	0	0
